"ID";"Name";"Type1";"Type2";"Total";"HP";"Attack";"Defense";"Sp.Atk";"Sp.Def";"Speed";
249;"Lugia";"Psychic";"Flying";680;106;90;130;90;154;110;
250;"Ho-Oh";"Fire";"Flying";680;106;130;90;110;154;90;
382;"Kyogre";"Water";";670;100;100;90;150;140;90;
383;"Groudon";"Ground";";670;100;150;140;100;90;90;
384;"Rayquaza";"Dragon";"Flying";680;105;150;90;150;90;95;
483;"Dialga";"Steel";"Dragon";680;100;120;120;150;100;90;
484;"Palkia";"Water";"Dragon";680;90;120;100;150;120;100;
487;"Giratina";"Ghost";"Dragon";680;150;100;120;100;120;90;
643;"Reshiram";"Dragon";"Fire";680;100;120;100;150;120;90;
644;"Zekrom";"Dragon";"Electric";680;100;150;120;120;100;90;
716;"Xerneas";"Fairy";";680;126;131;95;131;98;99;
717;"Yveltal";"Dark";"Flying";680;126;131;95;131;98;99;
791;"Solgaleo";"Psychic";"Steel";680;137;137;107;113;89;97;
792;"Lunala";"Psychic";"Ghost";680;137;113;89;137;107;97;
888;"Zacian";"Fairy";";660;92;130;115;80;115;138;
889;"Zamazenta";"Fighting";";660;92;130;115;80;115;138;
1007;"Koraidon";"Fighting";"Dragon";670;100;135;115;85;100;135;
1008;"Miraidon";"Electric";"Dragon";670;100;85;100;135;115;135;
